EAS Schema 14.1
 
Code Page 0: AirSync    Xmlns = "airsync" Namespace = "AirSync:" 

    Token    Field
    0x05     "Sync"
    0x06     "Responses"
    0x07     "Add"
    0x08     "Change"
    0x09     "Delete"
    0x0A     "Fetch"
    0x0B     "SyncKey"
    0x0C     "ClientId"
    0x0D     "ServerId"
    0x0E     "Status"
    0x0F     "Collection"
    0x10     "Class"
    0x12     "CollectionId"
    0x13     "GetChanges"
    0x14     "MoreAvailable"
    0x15     "WindowSize"
    0x16     "Commands"
    0x17     "Options"
    0x18     "FilterType"
    0x1B     "Conflict"
    0x1C     "Collections"
    0x1D     "ApplicationData"
    0x1E     "DeletesAsMoves"
    0x20     "Supported"
    0x21     "SoftDelete"
    0x22     "MIMESupport"
    0x23     "MIMETruncation"
    0x24     "Wait"
    0x25     "Limit"
    0x26     "Partial"
    0x27     "ConversationMode"
    0x28     "MaxItems"
    0x29     "HeartbeatInterval"

Code Page 1: Contacts  Xmlns = "contacts"    Namespace = "Contacts:";
    Token    Field
    0x05     "Anniversary"
    0x06     "AssistantName"
    0x07     "AssistantTelephoneNumber"
    0x08     "Birthday"
    0x0C     "Business2PhoneNumber"
    0x0D     "BusinessCity"
    0x0E     "BusinessCountry"
    0x0F     "BusinessPostalCode"
    0x10     "BusinessState"
    0x11     "BusinessStreet"
    0x12     "BusinessFaxNumber"
    0x13     "BusinessPhoneNumber"
    0x14     "CarPhoneNumber"
    0x15     "Categories"
    0x16     "Category"
    0x17     "Children"
    0x18     "Child"
    0x19     "CompanyName"
    0x1A     "Department"
    0x1B     "Email1Address"
    0x1C     "Email2Address"
    0x1D     "Email3Address"
    0x1E     "FileAs"
    0x1F     "FirstName"
    0x20     "Home2PhoneNumber"
    0x21     "HomeCity"
    0x22     "HomeCountry"
    0x23     "HomePostalCode"
    0x24     "HomeState"
    0x25     "HomeStreet"
    0x26     "HomeFaxNumber"
    0x27     "HomePhoneNumber"
    0x28     "JobTitle"
    0x29     "LastName"
    0x2A     "MiddleName"
    0x2B     "MobilePhoneNumber"
    0x2C     "OfficeLocation"
    0x2D     "OtherCity"
    0x2E     "OtherCountry"
    0x2F     "OtherPostalCode"
    0x30     "OtherState"
    0x31     "OtherStreet"
    0x32     "PagerNumber"
    0x33     "RadioPhoneNumber"
    0x34     "Spouse"
    0x35     "Suffix"
    0x36     "Title"
    0x37     "Webpage"
    0x38     "YomiCompanyName"
    0x39     "YomiFirstName"
    0x3A     "YomiLastName"
    0x3C     "Picture"
    0x3D     "Alias"
    0x3E     "WeightedRank"
    

Code Page 2: Email    Xmlns = "email"    Namespace = "Email:"

    Token    Field
    0x0F     "DateReceived"
    0x11     "DisplayTo"
    0x12     "Importance"
    0x13     "MessageClass"
    0x14     "Subject"
    0x15     "Read"
    0x16     "To"
    0x17     "CC"
    0x18     "From"
    0x19     "ReplyTo"
    0x1A     "AllDayEvent"
    0x1B     "Categories"
    0x1C     "Category"
    0x1D     "DTStamp"
    0x1E     "EndTime"
    0x1F     "InstanceType"
    0x20     "BusyStatus"
    0x21     "Location"
    0x22     "MeetingRequest"
    0x23     "Organizer"
    0x24     "RecurrenceId"
    0x25     "Reminder"
    0x26     "ResponseRequested"
    0x27     "Recurrences"
    0x28     "Recurrence"
    0x29     "Recurrence_Type"
    0x2A     "Recurrence_Until"
    0x2B     "Recurrence_Occurrences"
    0x2C     "Recurrence_Interval"
    0x2D     "Recurrence_DayOfWeek"
    0x2E     "Recurrence_DayOfMonth"
    0x2F     "Recurrence_WeekOfMonth"
    0x30     "Recurrence_MonthOfYear"
    0x31     "StartTime"
    0x32     "Sensitivity"
    0x33     "TimeZone"
    0x34     "GlobalObjId"
    0x35     "ThreadTopic"
    0x39     "InternetCPID"
    0x3A     "Flag"
    0x3B     "FlagStatus"
    0x3C     "ContentClass"
    0x3D     "FlagType"
    0x3E     "CompleteTime"
    0x3F     "DisallowNewTimeProposal"
 

Code Page 3: AirNotify - retired   Xmlns = ""  Namespace = ""
 
    N/A

Code Page 4: Calendar    Xmlns = "calendar"  Namespace = "Calendar:"

    Token    Field
    0x05     "TimeZone"
    0x06     "AllDayEvent"
    0x07     "Attendees"
    0x08     "Attendee"
    0x09     "Attendee_Email"
    0x0A     "Attendee_Name"
    0x0D     "BusyStatus"
    0x0E     "Categories"
    0x0F     "Category"
    0x11     "DTStamp"
    0x12     "EndTime"
    0x13     "Exception"
    0x14     "Exceptions"
    0x15     "Exception_Deleted"
    0x16     "Exception_StartTime"
    0x17     "Location"
    0x18     "MeetingStatus"
    0x19     "Organizer_Email"
    0x1A     "Organizer_Name"
    0x1B     "Recurrence"
    0x1C     "Recurrence_Type"
    0x1D     "Recurrence_Until"
    0x1E     "Recurrence_Occurrences"
    0x1F     "Recurrence_Interval"
    0x20     "Recurrence_DayOfWeek"
    0x21     "Recurrence_DayOfMonth"
    0x22     "Recurrence_WeekOfMonth"
    0x23     "Recurrence_MonthOfYear"
    0x24     "Reminder"
    0x25     "Sensitivity"
    0x26     "Subject"
    0x27     "StartTime"
    0x28     "UID"
    0x29     "Attendee_Status"
    0x2A     "Attendee_Type"
    0x33     "DisallowNewTimeProposal"
    0x34     "ResponseRequested"
    0x35     "AppointmentReplyTime"
    0x36     "ResponseType"
    0x37     "CalendarType"
    0x38     "IsLeapMonth"
    0x39     "FirstDayOfWeek"
    0x3A     "OnlineMeetingConfLink"
    0x3B     "OnlineMeetingExternalLink"
 

Code Page 5: Move    Xmlns = "move"    Namespace = "Move:"

    Token    Field
    0x05     "MoveItems"
    0x06     "Move"
    0x07     "SrcMsgId"
    0x08     "SrcFldId"
    0x09     "DstFldId"
    0x0A     "Response"
    0x0B     "Status"
    0x0C     "DstMsgId"
       

Code Page 6: ItemEstimate    Xmlns = "getitemestimate"    Namespace = "GetItemEstimate:"
 
    Token    Field
    0x05     "GetItemEstimate"
    0x06     "Version"
    0x07     "Collections"
    0x08     "Collection"
    0x09     "Class"
    0x0A     "CollectionId"
    0x0B     "DateTime"
    0x0C     "Estimate"
    0x0D     "Response"
    0x0E     "Status"


Code Page 7: FolderHierarchy    Xmlns = "folderhierarchy"    Namespace = "FolderHierarchy:"
 
    Token    Field
    0x07     "DisplayName"
    0x08     "ServerId"
    0x09     "ParentId"
    0x0A     "Type"
    0x0C     "Status"
    0x0E     "Changes"
    0x0F     "Add"
    0x10     "Delete"
    0x11     "Update"
    0x12     "SyncKey"
    0x13     "FolderCreate"
    0x14     "FolderDelete"
    0x15     "FolderUpdate"
    0x16     "FolderSync"
    0x17     "Count"

 

Code Page 8: MeetingResponse    Xmlns = "meetingresponse"    Namespace = "MeetingResponse:"
 
    Token    Field
    0x05     "CalendarId"
    0x06     "CollectionId"
    0x07     "MeetingResponse"
    0x08     "RequestId"
    0x09     "Request"
    0x0A     "Result"
    0x0B     "Status"
    0x0C     "UserResponse"
    0x0E     "InstanceId"
    

Code Page 9: Tasks  Xmlns = "tasks"    Namespace = "Tasks:"
 
    Token    Field
    0x08     "Categories"
    0x09     "Category"
    0x0A     "Complete"
    0x0B     "DateCompleted"
    0x0C     "DueDate"
    0x0D     "UTCDueDate"
    0x0E     "Importance"
    0x0F     "Recurrence"
    0x10     "Recurrence_Type"
    0x11     "Recurrence_Start"
    0x12     "Recurrence_Until"
    0x13     "Recurrence_Occurrences"
    0x14     "Recurrence_Interval"
    0x15     "Recurrence_DayOfMonth"
    0x16     "Recurrence_DayOfWeek"
    0x17     "Recurrence_WeekOfMonth"
    0x18     "Recurrence_MonthOfYear"
    0x19     "Recurrence_Regenerate"
    0x1A     "Recurrence_DeadOccur"
    0x1B     "ReminderSet"
    0x1C     "ReminderTime"
    0x1D     "Sensitivity"
    0x1E     "StartDate"
    0x1F     "UTCStartDate"
    0x20     "Subject"
    0x22     "OrdinalDate"
    0x23     "SubOrdinalDate"
    0x24     "CalendarType"
    0x25     "IsLeapMonth"
    0x26     "FirstDayOfWeek"
 

  Code Page 10: ResolveRecipients    Xmlns = "resolverecipients"    Namespace = "ResolveRecipients:"
 
    Token    Field
    0x05     "ResolveRecipients"
    0x06     "Response"
    0x07     "Status"
    0x08     "Type"
    0x09     "Recipient"
    0x0A     "DisplayName"
    0x0B     "EmailAddress"
    0x0C     "Certificates"
    0x0D     "Certificate"
    0x0E     "MiniCertificate"
    0x0F     "Options"
    0x10     "To"
    0x11     "CertificateRetrieval"
    0x12     "RecipientCount"
    0x13     "MaxCertificates"
    0x14     "MaxAmbiguousRecipients"
    0x15     "CertificateCount"
    0x16     "Availability"
    0x17     "StartTime"
    0x18     "EndTime"
    0x19     "MergedFreeBusy"
    0x1A     "Picture"
    0x1B     "MaxSize"
    0x1C     "Data"
    0x1D     "MaxPictures"
            #endregion

Code Page 11: ValidateCert    Xmlns = "validatecert"    Xmlns = "validatecert"
 
    Token    Field
    0x05     "ValidateCert"
    0x06     "Certificates"
    0x07     "Certificate"
    0x08     "CertificateChain"
    0x09     "CheckCRL"
    0x0A     "Status"
            #endregion

Code Page 12: Contacts2    Xmlns = "contacts2"    Namespace = "Contacts2:"
 
    Token    Field
    0x05     "CustomerId"
    0x06     "GovernmentId"
    0x07     "IMAddress"
    0x08     "IMAddress2"
    0x09     "IMAddress3"
    0x0A     "ManagerName"
    0x0B     "CompanyMainPhone"
    0x0C     "AccountName"
    0x0D     "NickName"
    0x0E     "MMS"
 

Code Page 13: Ping    Xmlns = "ping"   Namespace = "Ping:"

    Token    Field
    0x05     "Ping"
    0x06     "AutdState"  // Per MS-ASWBXML, this tag is not used by protocol
    0x07     "Status"
    0x08     "HeartbeatInterval"
    0x09     "Folders"
    0x0A     "Folder"
    0x0B     "Id"
    0x0C     "Class"
    0x0D     "MaxFolders"

Code Page 14: Provision    Xmlns = "provision"    Namespace = "Provision:"

    Token    Field
    0x05     "Provision"
    0x06     "Policies"
    0x07     "Policy"
    0x08     "PolicyType"
    0x09     "PolicyKey"
    0x0A     "Data"
    0x0B     "Status"
    0x0C     "RemoteWipe"
    0x0D     "EASProvisionDoc"
    0x0E     "DevicePasswordEnabled"
    0x0F     "AlphanumericDevicePasswordRequired"
    0x10     "RequireStorageCardEncryption"
    0x11     "PasswordRecoveryEnabled"
    0x13     "AttachmentsEnabled"
    0x14     "MinDevicePasswordLength"
    0x15     "MaxInactivityTimeDeviceLock"
    0x16     "MaxDevicePasswordFailedAttempts"
    0x17     "MaxAttachmentSize"
    0x18     "AllowSimpleDevicePassword"
    0x19     "DevicePasswordExpiration"
    0x1A     "DevicePasswordHistory"
    0x1B     "AllowStorageCard"
    0x1C     "AllowCamera"
    0x1D     "RequireDeviceEncryption"
    0x1E     "AllowUnsignedApplications"
    0x1F     "AllowUnsignedInstallationPackages"
    0x20     "MinDevicePasswordComplexCharacters"
    0x21     "AllowWiFi"
    0x22     "AllowTextMessaging"
    0x23     "AllowPOPIMAPEmail"
    0x24     "AllowBluetooth"
    0x25     "AllowIrDA"
    0x26     "RequireManualSyncWhenRoaming"
    0x27     "AllowDesktopSync"
    0x28     "MaxCalendarAgeFilter"
    0x29     "AllowHTMLEmail"
    0x2A     "MaxEmailAgeFilter"
    0x2B     "MaxEmailBodyTruncationSize"
    0x2C     "MaxEmailHTMLBodyTruncationSize"
    0x2D     "RequireSignedSMIMEMessages"
    0x2E     "RequireEncryptedSMIMEMessages"
    0x2F     "RequireSignedSMIMEAlgorithm"
    0x30     "RequireEncryptionSMIMEAlgorithm"
